CookerStat, GenerateAssetRegistry=0.052355, Initialize=0.260230, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_0, PutCachedData=, CacheKey=REFL_FULL_0C6693969CB849AE9F4120FF5812F4D2_3F9B72324DFBBE13839725A441BDC507, StartTime=2016.05.12-17.34.00, HierarchicalDDC=, DataSize=170213, Duration=47.505009, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_0, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B0602E_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000300000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.34.38, Duration=4162.038086, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__C21C6285737360730ED9466338EF5DC5C3B54D39, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=8388873, Duration=21.723021, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId3D99634D44C4A248A572C1B91F782E2F_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__1780A2042AF0771E909EFBF43D446392D33EB7F7, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=2097417, Duration=21.515530, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdB6D2947147F9C27CD3FE09B310FEB94E_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__FA6AD083ADB27D3DC093158FDB8131F2A9DCBE77, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=524553, Duration=27.483873, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId5AFA4F6548D8FADECC236880A69494B4_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__D2F9A7BFC5EB1AAE5C302BA6E64295C4EECB7ABB, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=131335, Duration=43.740147, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7014C7D74805492AE834B5AAA6DF3E23_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__486DB5CE6E42BE41A17A0A8BC1DAF6BFDD097EB7, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=33031, Duration=37.177814, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId53D9235C45ECDA365BAC9BB274A3F155_0, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__13E833A253FF0600576D87F30A1EA8F3171CFF3F, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=8455, Duration=48.131332, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_4E3773DE4A727050851BD6B3B8B06__3C91FFECB0DBA8E6A9B97300A2CEA218669B2021, StartTime=2016.05.12-17.34.42, HierarchicalDDC=, DataSize=5046, Duration=1.367360, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId58ECD24A4D2A3BDA97BA4AB5CE130867_1, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.12-17.34.45, Duration=2044.304932, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionIdD77A0C5B40614E8B5B5F1F8FB0B5AF50_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___9368A5E86893B38B6791A9D819870C23179043DE, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=16777477, Duration=60.470299, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
DDCTransactionId7A4CE1C040867A1C46F77E86D4742013_1, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_BB8DF7CC4B73CC7035B4B6BF3C4C5475___2517BB43983296D1DA043421B9B55BEAAFFB67F0, StartTime=2016.05.12-17.34.47, HierarchicalDDC=, DataSize=4194565, Duration=36.540329, RunGuid=RunID291E58194A67A37AC644D5B9B485F90B
